alg,fitness
GREEDY,-3.25448
RS,-3.46893
RS,-3.24796
RS,-3.2176
RS,-3.42708
RS,-3.29502
RS,-3.23662
RS,-3.43223
RS,-3.49549
RS,-3.43235
RS,-3.39726
RS,-3.30809
RS,-3.30291
RS,-3.32315
RS,-3.35778
RS,-3.24889
RS,-3.2144
RS,-3.52112
RS,-3.58177
RS,-3.40798
RS,-3.33743
RS,-3.42537
RS,-3.29058
RS,-3.22085
RS,-3.29275
RS,-3.21593
RS,-3.2036
RS,-3.48416
RS,-3.22826
RS,-3.3063
RS,-3.35653
RS,-3.28369
RS,-3.47174
RS,-3.14427
RS,-3.34507
RS,-3.28191
RS,-3.28261
RS,-3.21784
RS,-3.31209
RS,-3.37861
RS,-3.23497
RS,-3.27301
RS,-3.459
RS,-3.34416
RS,-3.34852
RS,-3.14465
RS,-3.31433
RS,-3.4719
RS,-3.5307
RS,-3.20408
RS,-3.50517
BL,-3.11204
BL,-3.11232
BL,-3.11495
BL,-3.11487
BL,-3.10641
BL,-3.10428
BL,-3.11955
BL,-3.11788
BL,-3.11047
BL,-3.10483
BL,-3.11651
BL,-3.11495
BL,-3.09457
BL,-3.10046
BL,-3.10316
BL,-3.11302
BL,-3.10098
BL,-3.12963
BL,-3.10772
BL,-3.1116
BL,-3.12613
BL,-3.12312
BL,-3.10565
BL,-3.11272
BL,-3.11399
BL,-3.10452
BL,-3.10989
BL,-3.10708
BL,-3.10662
BL,-3.1152
BL,-3.11278
BL,-3.09818
BL,-3.10927
BL,-3.10842
BL,-3.10286
BL,-3.12133
BL,-3.10943
BL,-3.10091
BL,-3.09414
BL,-3.11408
BL,-3.094
BL,-3.11607
BL,-3.11809
BL,-3.11844
BL,-3.11843
BL,-3.11911
BL,-3.10757
BL,-3.11811
BL,-3.10459
BL,-3.10325
AM-BEST,-3.11517
AM-BEST,-3.10935
AM-BEST,-3.11812
AM-BEST,-3.11737
AM-BEST,-3.12646
AM-BEST,-3.11665
AM-BEST,-3.12191
AM-BEST,-3.12861
AM-BEST,-3.1305
AM-BEST,-3.12293
AM-BEST,-3.13599
AM-BEST,-3.10597
AM-BEST,-3.10752
AM-BEST,-3.12598
AM-BEST,-3.10603
AM-BEST,-3.10806
AM-BEST,-3.11751
AM-BEST,-3.12715
AM-BEST,-3.10478
AM-BEST,-3.11508
AM-BEST,-3.16575
AM-BEST,-3.07201
AM-BEST,-3.13868
AM-BEST,-3.125
AM-BEST,-3.14871
AM-BEST,-3.12688
AM-BEST,-3.14463
AM-BEST,-3.113
AM-BEST,-3.12859
AM-BEST,-3.10538
AM-BEST,-3.11522
AM-BEST,-3.12217
AM-BEST,-3.11926
AM-BEST,-3.10392
AM-BEST,-3.13964
AM-BEST,-3.10535
AM-BEST,-3.12443
AM-BEST,-3.11194
AM-BEST,-3.10174
AM-BEST,-3.13062
AM-BEST,-3.10453
AM-BEST,-3.14699
AM-BEST,-3.11844
AM-BEST,-3.10156
AM-BEST,-3.11556
AM-BEST,-3.10488
AM-BEST,-3.1175
AM-BEST,-3.11582
AM-BEST,-3.09925
AM-BEST,-3.12443
BMB,-3.11204
BMB,-3.11232
BMB,-3.11143
BMB,-3.1195
BMB,-3.10159
BMB,-3.11119
BMB,-3.10731
BMB,-3.10055
BMB,-3.1006
BMB,-3.10483
BMB,-3.10372
BMB,-3.10158
BMB,-3.09457
BMB,-3.10419
BMB,-3.12372
BMB,-3.10847
BMB,-3.11538
BMB,-3.11236
BMB,-3.11193
BMB,-3.1116
BMB,-3.10612
BMB,-3.10516
BMB,-3.10633
BMB,-3.11272
BMB,-3.11399
BMB,-3.11015
BMB,-3.10791
BMB,-3.12438
BMB,-3.10662
BMB,-3.11614
BMB,-3.10059
BMB,-3.09818
BMB,-3.09494
BMB,-3.11969
BMB,-3.10286
BMB,-3.09878
BMB,-3.09474
BMB,-3.10091
BMB,-3.09414
BMB,-3.11408
BMB,-3.09492
BMB,-3.10941
BMB,-3.11499
BMB,-3.11312
BMB,-3.09814
BMB,-3.13036
BMB,-3.11185
BMB,-3.10961
BMB,-3.10051
BMB,-3.10116
ILS,-3.09934
ILS,-3.0975
ILS,-3.09589
ILS,-3.11487
ILS,-3.10641
ILS,-3.10667
ILS,-3.11955
ILS,-3.11444
ILS,-3.10853
ILS,-3.10483
ILS,-3.11651
ILS,-3.11495
ILS,-3.09457
ILS,-3.10046
ILS,-3.10384
ILS,-3.10664
ILS,-3.11171
ILS,-3.10901
ILS,-3.10772
ILS,-3.1116
ILS,-3.11634
ILS,-3.12312
ILS,-3.11195
ILS,-3.11272
ILS,-3.10271
ILS,-3.10452
ILS,-3.10989
ILS,-3.12062
ILS,-3.10662
ILS,-3.11374
ILS,-3.10447
ILS,-3.11144
ILS,-3.10927
ILS,-3.10061
ILS,-3.10286
ILS,-3.1038
ILS,-3.11052
ILS,-3.10091
ILS,-3.09414
ILS,-3.11408
ILS,-3.094
ILS,-3.12003
ILS,-3.11082
ILS,-3.10461
ILS,-3.11843
ILS,-3.11911
ILS,-3.11511
ILS,-3.10652
ILS,-3.10527
ILS,-3.10164
ES,-3.11811
ES,-3.11942
ES,-3.10841
ES,-3.10588
ES,-3.13277
ES,-3.10992
ES,-3.10003
ES,-3.12199
ES,-3.13062
ES,-3.12369
ES,-3.12317
ES,-3.10696
ES,-3.11614
ES,-3.1018
ES,-3.11708
ES,-3.1236
ES,-3.11323
ES,-3.1005
ES,-3.10766
ES,-3.10824
ES,-3.12859
ES,-3.12736
ES,-3.12764
ES,-3.11155
ES,-3.10592
ES,-3.11006
ES,-3.10696
ES,-3.10524
ES,-3.11985
ES,-3.12103
ES,-3.10676
ES,-3.1115
ES,-3.11487
ES,-3.12549
ES,-3.11348
ES,-3.12143
ES,-3.09569
ES,-3.11777
ES,-3.10242
ES,-3.11246
ES,-3.11734
ES,-3.11976
ES,-3.11195
ES,-3.12462
ES,-3.11787
ES,-3.11952
ES,-3.10819
ES,-3.12981
ES,-3.12508
ES,-3.12635
ILS-ES,-3.09674
ILS-ES,-3.11303
ILS-ES,-3.1171
ILS-ES,-3.11429
ILS-ES,-3.10549
ILS-ES,-3.11696
ILS-ES,-3.12263
ILS-ES,-3.12704
ILS-ES,-3.11352
ILS-ES,-3.11396
ILS-ES,-3.11363
ILS-ES,-3.12219
ILS-ES,-3.11118
ILS-ES,-3.11001
ILS-ES,-3.1119
ILS-ES,-3.1136
ILS-ES,-3.1213
ILS-ES,-3.1174
ILS-ES,-3.11537
ILS-ES,-3.12594
ILS-ES,-3.12495
ILS-ES,-3.10295
