alg,fitness
GREEDY,-4.55837
RS,-5.02956
RS,-5.08856
RS,-5.05136
RS,-5.26048
RS,-5.02346
RS,-4.98826
RS,-5.11
RS,-5.15356
RS,-5.29151
RS,-5.18126
RS,-5.13731
RS,-5.13975
RS,-5.07323
RS,-5.16237
RS,-5.22863
RS,-5.117
RS,-5.22425
RS,-5.21485
RS,-5.02713
RS,-5.11204
RS,-5.23732
RS,-5.19228
RS,-5.01052
RS,-5.06045
RS,-5.03992
RS,-5.00835
RS,-4.99901
RS,-5.01084
RS,-5.01358
RS,-5.00362
RS,-5.09532
RS,-5.23829
RS,-5.14859
RS,-5.06777
RS,-5.1433
RS,-5.08053
RS,-5.01964
RS,-4.99097
RS,-5.04018
RS,-5.04995
RS,-5.13448
RS,-5.14075
RS,-5.04657
RS,-5.10111
RS,-4.95878
RS,-5.05287
RS,-5.0424
RS,-5.03232
RS,-5.06589
RS,-5.09764
BL,-4.55441
BL,-4.56869
BL,-4.58226
BL,-4.58648
BL,-4.59836
BL,-4.56372
BL,-4.59158
BL,-4.60048
BL,-4.60127
BL,-4.54611
BL,-4.57689
BL,-4.58909
BL,-4.55637
BL,-4.5633
BL,-4.58143
BL,-4.58151
BL,-4.58592
BL,-4.59719
BL,-4.60044
BL,-4.55438
BL,-4.59151
BL,-4.60033
BL,-4.586
BL,-4.5775
BL,-4.57561
BL,-4.5858
BL,-4.56855
BL,-4.59164
BL,-4.5452
BL,-4.58383
BL,-4.59212
BL,-4.54887
BL,-4.56869
BL,-4.58919
BL,-4.55407
BL,-4.56381
BL,-4.58231
BL,-4.56736
BL,-4.55405
BL,-4.57169
BL,-4.58017
BL,-4.60057
BL,-4.57753
BL,-4.5864
BL,-4.57689
BL,-4.60014
BL,-4.59129
BL,-4.601
BL,-4.59776
BL,-4.58046
AM-BEST,-4.56457
AM-BEST,-4.57163
AM-BEST,-4.54398
AM-BEST,-4.5813
AM-BEST,-4.54949
AM-BEST,-4.57233
AM-BEST,-4.5694
AM-BEST,-4.60333
AM-BEST,-4.56097
AM-BEST,-4.56602
AM-BEST,-4.57723
AM-BEST,-4.57915
AM-BEST,-4.54261
AM-BEST,-4.58047
AM-BEST,-4.59135
AM-BEST,-4.5456
AM-BEST,-4.57074
AM-BEST,-4.56813
AM-BEST,-4.54547
AM-BEST,-4.56826
AM-BEST,-4.58238
AM-BEST,-4.54059
AM-BEST,-4.5723
AM-BEST,-4.57878
AM-BEST,-4.57221
AM-BEST,-4.59825
AM-BEST,-4.55007
AM-BEST,-4.58264
AM-BEST,-4.57302
AM-BEST,-4.56391
AM-BEST,-4.60177
AM-BEST,-4.55143
AM-BEST,-4.57244
AM-BEST,-4.5529
AM-BEST,-4.59676
AM-BEST,-4.55668
AM-BEST,-4.56217
AM-BEST,-4.55947
AM-BEST,-4.56462
AM-BEST,-4.55816
AM-BEST,-4.5484
AM-BEST,-4.57579
AM-BEST,-4.58293
AM-BEST,-4.55303
AM-BEST,-4.54745
AM-BEST,-4.54198
AM-BEST,-4.58061
AM-BEST,-4.59716
AM-BEST,-4.56471
AM-BEST,-4.60226
BMB,-4.55441
BMB,-4.56869
BMB,-4.56713
BMB,-4.57723
BMB,-4.57624
BMB,-4.55391
BMB,-4.55241
BMB,-4.5737
BMB,-4.55603
BMB,-4.54611
BMB,-4.56637
BMB,-4.55998
BMB,-4.55637
BMB,-4.53301
BMB,-4.57794
BMB,-4.56655
BMB,-4.55373
BMB,-4.56343
BMB,-4.56774
BMB,-4.55438
BMB,-4.55576
BMB,-4.57422
BMB,-4.55425
BMB,-4.5775
BMB,-4.57561
BMB,-4.55869
BMB,-4.56855
BMB,-4.5774
BMB,-4.5452
BMB,-4.57792
BMB,-4.57382
BMB,-4.54887
BMB,-4.56807
BMB,-4.56401
BMB,-4.55407
BMB,-4.56138
BMB,-4.56703
BMB,-4.56736
BMB,-4.55405
BMB,-4.57169
BMB,-4.54444
BMB,-4.56841
BMB,-4.5402
BMB,-4.56859
BMB,-4.56409
BMB,-4.5782
BMB,-4.58311
BMB,-4.59101
BMB,-4.58047
BMB,-4.55917
ILS,-4.55364
ILS,-4.56807
ILS,-4.58214
ILS,-4.58648
ILS,-4.59836
ILS,-4.56308
ILS,-4.59158
ILS,-4.60043
ILS,-4.60033
ILS,-4.54611
ILS,-4.57689
ILS,-4.58909
ILS,-4.55637
ILS,-4.5633
ILS,-4.58141
ILS,-4.57483
ILS,-4.58564
ILS,-4.59643
ILS,-4.60044
ILS,-4.55438
ILS,-4.5914
ILS,-4.60033
ILS,-4.58575
ILS,-4.5775
ILS,-4.57481
ILS,-4.5858
ILS,-4.56855
ILS,-4.59153
ILS,-4.5452
ILS,-4.58352
ILS,-4.59171
ILS,-4.54879
ILS,-4.56869
ILS,-4.58895
ILS,-4.55407
ILS,-4.56359
ILS,-4.58186
ILS,-4.56736
ILS,-4.55405
ILS,-4.57169
ILS,-4.58017
ILS,-4.60003
ILS,-4.5768
ILS,-4.58582
ILS,-4.57689
ILS,-4.60014
ILS,-4.59076
ILS,-4.60087
ILS,-4.59683
ILS,-4.57975
ES,-4.60028
ES,-4.60095
ES,-4.6005
ES,-4.58636
ES,-4.60127
ES,-4.60076
ES,-4.60083
ES,-4.60088
ES,-4.60138
ES,-4.60074
ES,-4.60118
ES,-4.60054
ES,-4.60079
ES,-4.60055
ES,-4.60076
ES,-4.60054
ES,-4.60114
ES,-4.60099
ES,-4.60093
ES,-4.57762
ES,-4.60087
ES,-4.60051
ES,-4.58977
ES,-4.60079
ES,-4.60048
ES,-4.60094
ES,-4.57756
ES,-4.60045
ES,-4.57785
ES,-4.60071
ES,-4.6013
ES,-4.60053
ES,-4.57758
ES,-4.60122
ES,-4.6006
ES,-4.60065
ES,-4.60075
ES,-4.60102
ES,-4.60079
ES,-4.6006
ES,-4.60039
ES,-4.60067
ES,-4.60052
ES,-4.60077
ES,-4.60068
ES,-4.60091
ES,-4.60063
ES,-4.6009
ES,-4.60106
ES,-4.60109
ILS-ES,-4.60117
ILS-ES,-4.56771
ILS-ES,-4.59232
ILS-ES,-4.5869
ILS-ES,-4.59137
ILS-ES,-4.60126
ILS-ES,-4.59155
ILS-ES,-4.59209
ILS-ES,-4.60048
ILS-ES,-4.60066
ILS-ES,-4.57341
ILS-ES,-4.60087
ILS-ES,-4.57783
ILS-ES,-4.57765
ILS-ES,-4.58259
ILS-ES,-4.59718
ILS-ES,-4.60061
ILS-ES,-4.60089
ILS-ES,-4.60121
ILS-ES,-4.57761
ILS-ES,-4.59274
ILS-ES,-4.60062
ILS-ES,-4.58915
ILS-ES,-4.60096
ILS-ES,-4.60101
ILS-ES,-4.58677
ILS-ES,-4.56692
ILS-ES,-4.59149
ILS-ES,-4.57771
ILS-ES,-4.59181
ILS-ES,-4.60083
ILS-ES,-4.60058
ILS-ES,-4.57825
ILS-ES,-4.60066
ILS-ES,-4.60092
ILS-ES,-4.60091
ILS-ES,-4.60091
ILS-ES,-4.60049
ILS-ES,-4.60071
ILS-ES,-4.60077
ILS-ES,-4.57807
ILS-ES,-4.60103
ILS-ES,-4.60098
ILS-ES,-4.60091
ILS-ES,-4.60081
ILS-ES,-4.58957
ILS-ES,-4.60124
ILS-ES,-4.60094
ILS-ES,-4.60066
ILS-ES,-4.60133
