alg,fitness
GREEDY,-3.77676
RS,-4.35318
RS,-4.35664
RS,-4.49714
RS,-4.26587
RS,-4.50315
RS,-4.50136
RS,-4.34115
RS,-4.55597
RS,-4.46319
RS,-4.39541
RS,-4.6288
RS,-4.68214
RS,-4.70755
RS,-4.17474
RS,-4.61533
RS,-4.57182
RS,-4.54531
RS,-4.3214
RS,-4.66626
RS,-4.3156
RS,-4.44077
RS,-4.47928
RS,-4.38313
RS,-4.41243
RS,-4.30627
RS,-4.66748
RS,-4.19836
RS,-4.37731
RS,-4.47648
RS,-4.55515
RS,-4.40299
RS,-4.19894
RS,-4.48484
RS,-4.5716
RS,-4.33169
RS,-4.71382
RS,-4.44137
RS,-4.57403
RS,-4.57824
RS,-4.38181
RS,-4.68763
RS,-4.32327
RS,-4.44784
RS,-4.59327
RS,-4.53023
RS,-4.43856
RS,-4.51263
RS,-4.54657
RS,-4.51755
RS,-4.18702
BL,-4.4537
BL,-4.37951
BL,-4.32184
BL,-4.18478
BL,-4.18606
BL,-4.1565
BL,-4.09093
BL,-4.15478
BL,-4.10428
BL,-4.21232
BL,-4.15501
BL,-4.21021
BL,-4.18577
BL,-4.31325
BL,-4.05948
BL,-4.0566
BL,-4.09377
BL,-4.38984
BL,-4.19305
BL,-4.36329
BL,-4.08041
BL,-4.22779
BL,-4.25539
BL,-4.16564
BL,-4.09948
BL,-4.2107
BL,-4.27819
BL,-3.99526
BL,-4.06596
BL,-4.46061
BL,-4.117
BL,-4.18252
BL,-4.20043
BL,-4.26689
BL,-4.37783
BL,-4.15312
BL,-4.08418
BL,-4.18413
BL,-4.43102
BL,-4.25464
BL,-4.08228
BL,-4.22706
BL,-4.21768
BL,-4.15609
BL,-4.22377
BL,-4.19517
BL,-4.14333
BL,-4.06383
BL,-4.10754
BL,-4.30896
AM-BEST,-4.10101
AM-BEST,-4.03925
AM-BEST,-3.98279
AM-BEST,-3.92821
AM-BEST,-3.88207
AM-BEST,-4.05226
AM-BEST,-3.97841
AM-BEST,-3.9346
AM-BEST,-4.09017
AM-BEST,-3.90219
AM-BEST,-3.96701
AM-BEST,-4.00718
AM-BEST,-3.95571
AM-BEST,-3.97646
AM-BEST,-3.91145
AM-BEST,-3.83637
AM-BEST,-3.88752
AM-BEST,-4.04344
AM-BEST,-4.08352
AM-BEST,-3.94665
AM-BEST,-3.92878
AM-BEST,-3.95573
AM-BEST,-3.95595
AM-BEST,-3.86574
AM-BEST,-3.83347
AM-BEST,-3.81753
AM-BEST,-3.82829
AM-BEST,-4.00539
AM-BEST,-4.00894
AM-BEST,-3.93271
AM-BEST,-3.99368
AM-BEST,-3.97141
AM-BEST,-4.02299
AM-BEST,-3.97575
AM-BEST,-4.06101
AM-BEST,-3.90551
AM-BEST,-3.97109
AM-BEST,-3.85662
AM-BEST,-3.87004
AM-BEST,-3.92379
AM-BEST,-4.11379
AM-BEST,-3.86921
AM-BEST,-3.98426
AM-BEST,-4.10918
AM-BEST,-4.03334
AM-BEST,-3.99194
AM-BEST,-3.95962
AM-BEST,-4.00887
AM-BEST,-3.94844
AM-BEST,-3.92548
BMB,-4.12394
BMB,-4.06386
BMB,-4.12579
BMB,-4.22399
BMB,-4.19062
BMB,-4.01516
BMB,-4.02599
BMB,-4.12781
BMB,-4.17412
BMB,-4.07653
BMB,-4.08219
BMB,-4.11104
BMB,-4.0278
BMB,-4.05854
BMB,-4.03606
BMB,-4.07576
BMB,-4.00065
BMB,-4.10498
BMB,-4.18818
BMB,-4.08389
BMB,-4.12869
BMB,-4.18153
BMB,-4.08402
BMB,-4.15502
BMB,-4.05483
BMB,-4.17071
BMB,-4.13487
BMB,-4.23311
BMB,-4.03112
BMB,-4.05221
BMB,-4.08447
BMB,-4.05818
BMB,-4.08928
BMB,-4.13014
BMB,-4.11525
BMB,-4.28822
BMB,-4.06986
BMB,-4.18851
BMB,-4.18077
BMB,-4.11874
BMB,-4.11476
BMB,-4.07077
BMB,-4.06387
BMB,-4.13854
BMB,-4.15154
BMB,-4.08477
BMB,-4.05839
BMB,-4.00624
BMB,-4.14261
BMB,-4.12451
ILS,-4.50513
ILS,-4.29386
ILS,-4.28122
ILS,-4.22399
ILS,-4.17341
ILS,-4.09695
ILS,-4.00121
ILS,-4.12781
ILS,-4.10043
ILS,-4.17688
ILS,-4.1436
ILS,-4.16433
ILS,-4.13371
ILS,-4.28879
ILS,-4.03606
ILS,-4.07576
