alg,fitness
GREEDY,-2.74951
RS,-3.70129
RS,-3.64389
RS,-3.71324
RS,-3.7212
RS,-3.72765
RS,-3.72201
RS,-3.74321
RS,-3.6378
RS,-3.75392
RS,-3.64627
RS,-3.73809
RS,-3.68117
RS,-3.74618
RS,-3.68812
RS,-3.71355
RS,-3.7246
RS,-3.63293
RS,-3.70612
RS,-3.71391
RS,-3.71351
RS,-3.75697
RS,-3.72315
RS,-3.69577
RS,-3.69274
RS,-3.70141
RS,-3.76285
RS,-3.74067
RS,-3.76414
RS,-3.77072
RS,-3.72904
RS,-3.69491
RS,-3.71766
RS,-3.70659
RS,-3.78597
RS,-3.72054
RS,-3.77055
RS,-3.70322
RS,-3.73412
RS,-3.73841
RS,-3.69383
RS,-3.73154
RS,-3.75611
RS,-3.72565
RS,-3.75584
RS,-3.69914
RS,-3.66335
RS,-3.75156
RS,-3.68638
RS,-3.70028
RS,-3.72136
BL,-3.55505
BL,-3.46404
BL,-3.49116
BL,-3.23641
BL,-3.28278
BL,-3.24891
BL,-3.19908
BL,-3.18189
BL,-3.1874
BL,-3.31756
BL,-3.25295
BL,-3.16285
BL,-3.25234
BL,-3.40624
BL,-3.12795
BL,-3.21372
BL,-3.15424
BL,-3.48985
BL,-3.18465
BL,-3.44193
BL,-3.15131
BL,-3.22841
BL,-3.46482
BL,-3.12447
BL,-3.15816
BL,-3.197
BL,-3.44822
BL,-3.29524
BL,-3.04229
BL,-3.54701
BL,-3.08529
BL,-3.25786
BL,-3.19383
BL,-3.31094
BL,-3.37931
BL,-3.32604
BL,-3.12582
BL,-3.27501
BL,-3.57241
BL,-3.41509
BL,-3.13345
BL,-3.23268
BL,-3.30674
BL,-3.20369
BL,-3.27695
BL,-3.34032
BL,-3.1525
BL,-3.18114
BL,-3.20025
BL,-3.46534
AM-BEST,-2.99469
AM-BEST,-2.98389
AM-BEST,-2.90643
AM-BEST,-2.81877
AM-BEST,-2.92648
AM-BEST,-2.881
AM-BEST,-2.86051
AM-BEST,-2.81382
AM-BEST,-2.88668
AM-BEST,-2.92704
AM-BEST,-2.90391
AM-BEST,-2.93165
AM-BEST,-2.94872
AM-BEST,-2.90032
AM-BEST,-2.93254
AM-BEST,-2.918
AM-BEST,-2.88003
AM-BEST,-2.8937
AM-BEST,-2.93193
AM-BEST,-2.90258
AM-BEST,-2.94781
AM-BEST,-2.86187
AM-BEST,-2.83259
AM-BEST,-2.95101
AM-BEST,-2.85277
AM-BEST,-2.87305
AM-BEST,-2.86459
AM-BEST,-2.90721
AM-BEST,-2.94197
AM-BEST,-2.85759
AM-BEST,-2.91944
AM-BEST,-2.91153
AM-BEST,-2.8898
AM-BEST,-2.96469
AM-BEST,-2.87441
AM-BEST,-2.90557
AM-BEST,-2.83513
AM-BEST,-2.87738
AM-BEST,-2.81873
AM-BEST,-2.8309
AM-BEST,-2.90154
AM-BEST,-2.85329
AM-BEST,-2.89267
AM-BEST,-2.87664
AM-BEST,-2.88463
AM-BEST,-2.86836
AM-BEST,-2.91384
AM-BEST,-2.93593
AM-BEST,-2.82285
AM-BEST,-2.92164
BMB,-3.14288
BMB,-3.14047
BMB,-3.29127
BMB,-3.26218
BMB,-3.2594
BMB,-3.16756
BMB,-3.08359
BMB,-3.24301
BMB,-3.1581
BMB,-3.1813
BMB,-3.25426
BMB,-3.10084
BMB,-3.23041
BMB,-3.17562
BMB,-3.14149
BMB,-3.23253
BMB,-3.17911
BMB,-3.21698
BMB,-3.19644
BMB,-3.17747
BMB,-3.13046
BMB,-3.26111
BMB,-3.06008
BMB,-3.14848
BMB,-3.11135
BMB,-3.22697
BMB,-3.34444
BMB,-3.24849
BMB,-3.03678
BMB,-3.12722
BMB,-3.11544
BMB,-3.20043
BMB,-3.06317
BMB,-3.18599
BMB,-3.16537
BMB,-3.31014
BMB,-3.13901
BMB,-3.16833
BMB,-3.17216
BMB,-3.1442
BMB,-3.07901
BMB,-3.22447
BMB,-3.09497
BMB,-3.25293
BMB,-3.16665
BMB,-3.20803
BMB,-3.13028
BMB,-3.10832
BMB,-3.19906
BMB,-3.14901
ILS,-3.5483
ILS,-3.47992
ILS,-3.50691
ILS,-3.26218
ILS,-3.29974
ILS,-3.27591
ILS,-3.22194
ILS,-3.24301
ILS,-3.22756
ILS,-3.33743
ILS,-3.28423
ILS,-3.18494
ILS,-3.29587
ILS,-3.43789
ILS,-3.14149
ILS,-3.23253
ILS,-3.17911
ILS,-3.49048
ILS,-3.25151
ILS,-3.47297
ILS,-3.17432
ILS,-3.25903
ILS,-3.52196
ILS,-3.14848
ILS,-3.21133
ILS,-3.22697
ILS,-3.47249
ILS,-3.31574
ILS,-3.06324
ILS,-3.55938
ILS,-3.11544
ILS,-3.30297
ILS,-3.21119
ILS,-3.33715
ILS,-3.41159
ILS,-3.34609
ILS,-3.13901
ILS,-3.28471
ILS,-3.58082
ILS,-3.43474
ILS,-3.15312
ILS,-3.25055
ILS,-3.3268
ILS,-3.24016
ILS,-3.30227
ILS,-3.36765
ILS,-3.16904
ILS,-3.21655
ILS,-3.22598
ILS,-3.49996
ES,-3.96327
ES,-3.77257
ES,-3.80478
ES,-3.86851
ES,-3.77361
ES,-3.65169
ES,-3.68849
ES,-3.84014
ES,-3.76861
ES,-3.73833
ES,-3.69787
ES,-3.69046
ES,-3.78497
ES,-3.81436
ES,-3.70593
ES,-3.77018
ES,-3.86759
ES,-3.84287
ES,-3.61753
ES,-3.70161
ES,-3.70859
ES,-3.83766
ES,-3.91751
ES,-3.79726
ES,-3.76674
ES,-3.84987
ES,-3.88575
ES,-3.78044
ES,-3.65503
ES,-3.91522
ES,-3.65106
ES,-3.74519
ES,-3.75667
ES,-3.74041
ES,-3.78003
ES,-3.69429
ES,-3.62737
ES,-3.70034
ES,-3.87605
ES,-3.94134
ES,-3.6921
ES,-3.66208
ES,-3.86143
ES,-3.9738
ES,-3.85601
ES,-3.78852
ES,-3.76842
ES,-3.82077
ES,-3.68389
ES,-3.83345
ILS-ES,-3.86224
ILS-ES,-3.81201
ILS-ES,-3.80235
ILS-ES,-3.84824
ILS-ES,-3.72456
ILS-ES,-3.67125
ILS-ES,-3.68256
ILS-ES,-3.86303
ILS-ES,-3.7552
ILS-ES,-3.72142
ILS-ES,-3.69619
ILS-ES,-3.68035
ILS-ES,-3.78162
ILS-ES,-3.8263
ILS-ES,-3.69285
ILS-ES,-3.68038
ILS-ES,-3.80827
ILS-ES,-3.81279
ILS-ES,-3.64029
ILS-ES,-3.70205
ILS-ES,-3.71811
ILS-ES,-3.84737
ILS-ES,-3.91526
ILS-ES,-3.73633
ILS-ES,-3.73077
ILS-ES,-3.80035
ILS-ES,-3.86783
ILS-ES,-3.73071
ILS-ES,-3.64559
ILS-ES,-3.86558
ILS-ES,-3.61248
ILS-ES,-3.7586
ILS-ES,-3.7656
ILS-ES,-3.74771
ILS-ES,-3.7577
ILS-ES,-3.71794
ILS-ES,-3.6441
ILS-ES,-3.69214
ILS-ES,-3.86123
ILS-ES,-3.91574
ILS-ES,-3.69448
ILS-ES,-3.66273
ILS-ES,-3.84579
ILS-ES,-3.88508
ILS-ES,-3.8485
ILS-ES,-3.74923
ILS-ES,-3.77694
